champion,champion_icon
nidalee,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nidalee.png
ekko,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ekko.png
ryze,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ryze.png
alistar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Alistar.png
senna,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Senna.png
pyke,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Pyke.png
teemo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Teemo.png
seraphine,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Seraphine.png
jinx,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jinx.png
yunara,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yunara.png
drmundo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/DrMundo.png
yone,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yone.png
gnar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gnar.png
kogmaw,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KogMaw.png
zyra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zyra.png
gragas,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gragas.png
morgana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Morgana.png
rell,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rell.png
kayn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kayn.png
xayah,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xayah.png
sion,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sion.png
samira,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Samira.png
lissandra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lissandra.png
blitzcrank,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Blitzcrank.png
kennen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kennen.png
syndra,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Syndra.png
missfortune,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/MissFortune.png
karma,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Karma.png
camille,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Camille.png
kassadin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kassadin.png
kalista,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kalista.png
galio,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Galio.png
aatrox,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aatrox.png
zilean,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zilean.png
varus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Varus.png
cassiopeia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Cassiopeia.png
velkoz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Velkoz.png
fiora,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fiora.png
vi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vi.png
briar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Briar.png
belveth,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Belveth.png
viego,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viego.png
maokai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Maokai.png
quinn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Quinn.png
zac,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zac.png
fizz,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fizz.png
yasuo,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yasuo.png
brand,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Brand.png
xerath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Xerath.png
chogath,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Chogath.png
darius,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Darius.png
ksante,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/KSante.png
qiyana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Qiyana.png
reksai,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/RekSai.png
kindred,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kindred.png
irelia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Irelia.png
ashe,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ashe.png
ahri,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ahri.png
nautilus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nautilus.png
ambessa,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ambessa.png
ivern,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ivern.png
vayne,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vayne.png
aurora,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aurora.png
sylas,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sylas.png
rengar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rengar.png
jhin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jhin.png
sett,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sett.png
swain,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Swain.png
jayce,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jayce.png
naafiri,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Naafiri.png
akali,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Akali.png
milio,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Milio.png
gangplank,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gangplank.png
khazix,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Khazix.png
neeko,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Neeko.png
akshan,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Akshan.png
veigar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Veigar.png
anivia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Anivia.png
hwei,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Hwei.png
caitlyn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Caitlyn.png
pantheon,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Pantheon.png
ziggs,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ziggs.png
thresh,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Thresh.png
lulu,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lulu.png
azir,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Azir.png
amumu,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Amumu.png
lucian,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lucian.png
urgot,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Urgot.png
zed,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zed.png
malphite,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Malphite.png
xinzhao,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/XinZhao.png
annie,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Annie.png
braum,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Braum.png
shaco,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Shaco.png
orianna,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Orianna.png
aphelios,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Aphelios.png
yuumi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yuumi.png
aurelionsol,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/AurelionSol.png
nami,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nami.png
singed,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Singed.png
tryndamere,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Tryndamere.png
diana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Diana.png
heimerdinger,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Heimerdinger.png
leblanc,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Leblanc.png
jarvaniv,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/JarvanIV.png
janna,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Janna.png
lux,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lux.png
fiddlesticks,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Fiddlesticks.png
mordekaiser,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Mordekaiser.png
malzahar,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Malzahar.png
ezreal,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ezreal.png
katarina,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Katarina.png
corki,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Corki.png
viktor,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Viktor.png
evelynn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Evelynn.png
shen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Shen.png
mel,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Mel.png
smolder,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Smolder.png
sivir,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sivir.png
kaisa,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kaisa.png
leesin,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/LeeSin.png
elise,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Elise.png
nasus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nasus.png
lillia,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Lillia.png
twitch,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Twitch.png
poppy,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Poppy.png
karthus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Karthus.png
vex,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vex.png
tahmkench,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/TahmKench.png
renata,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Renata.png
zeri,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zeri.png
gwen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Gwen.png
udyr,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Udyr.png
renekton,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Renekton.png
masteryi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/MasterYi.png
draven,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Draven.png
rumble,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rumble.png
kayle,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kayle.png
talon,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Talon.png
leona,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Leona.png
twistedfate,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/TwistedFate.png
taliyah,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Taliyah.png
vladimir,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Vladimir.png
yorick,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Yorick.png
illaoi,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Illaoi.png
garen,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Garen.png
nocturne,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nocturne.png
rakan,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rakan.png
tristana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Tristana.png
sejuani,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sejuani.png
sona,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Sona.png
jax,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Jax.png
zoe,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Zoe.png
shyvana,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Shyvana.png
bard,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Bard.png
monkeyking,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/MonkeyKing.png
graves,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Graves.png
hecarim,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Hecarim.png
soraka,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Soraka.png
ornn,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Ornn.png
trundle,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Trundle.png
kled,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Kled.png
nunu,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nunu.png
rammus,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Rammus.png
nilah,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Nilah.png
warwick,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Warwick.png
skarner,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Skarner.png
riven,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Riven.png
volibear,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Volibear.png
taric,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Taric.png
olaf,https://ddragon.leagueoflegends.com/cdn/15.17.1/img/champion/Olaf.png
